host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_days_active,host_years_active,days_since_last_review,price_per_person,availability_rate_30,availability_rate_365,people_per_bedroom,amenities_count,has_wifi,has_kitchen,has_air_conditioning,has_heating,has_washer,has_dryer,has_free_parking,has_gym,has_pool,has_hot_tub,has_breakfast,has_laptop_friendly,has_tv,has_cable_tv,has_internet,has_wireless_internet,has_essentials,has_shampoo,has_hair_dryer,has_iron,has_hangers,has_self_check_in,has_keypad,has_lockbox,has_private_entrance,has_dedicated_workspace,tech_amenities_count,comfort_amenities_count,convenience_amenities_count,luxury_amenities_count,name_length,name_word_count,name_luxury_score,name_location_score,name_mentions_apartment,name_mentions_house,name_mentions_studio,name_mentions_loft,name_mentions_room,name_comfort_score,name_mentions_private,name_mentions_entire,name_view_score,desc_length,desc_word_count,desc_sentence_count,avg_word_length,desc_char_diversity,desc_readability,desc_sentiment_score,desc_emotional_score,desc_location_mentions,desc_transport_mentions,desc_experience_score,desc_facility_mentions,desc_business_score,desc_safety_mentions,desc_cleanliness_score,desc_urgency_score,desc_capitals_ratio,desc_exclamation_count,desc_luxury_themes_score,desc_location_themes_score,desc_comfort_themes_score,desc_space_themes_score,desc_amenity_themes_score,desc_experience_themes_score,text_intelligence_score,text_appeal_percentile,host_response_time_encoded,property_type_Boat,property_type_Camper/RV,property_type_Campsite,property_type_Casa particular,property_type_Dome,property_type_Entire bungalow,property_type_Entire cabin,property_type_Entire chalet,property_type_Entire condo,property_type_Entire cottage,property_type_Entire guest suite,property_type_Entire guesthouse,property_type_Entire home,property_type_Entire loft,property_type_Entire place,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Entire townhouse,property_type_Entire vacation home,property_type_Entire villa,property_type_Farm stay,property_type_Houseboat,property_type_Hut,property_type_Private room,property_type_Private room in barn,property_type_Private room in bed and breakfast,property_type_Private room in bungalow,property_type_Private room in casa particular,property_type_Private room in condo,property_type_Private room in cottage,property_type_Private room in farm stay,property_type_Private room in guest suite,property_type_Private room in guesthouse,property_type_Private room in home,property_type_Private room in loft,property_type_Private room in rental unit,property_type_Private room in serviced apartment,property_type_Private room in shipping container,property_type_Private room in tent,property_type_Private room in tiny home,property_type_Private room in townhouse,property_type_Religious building,property_type_Room in aparthotel,property_type_Room in boutique hotel,property_type_Room in hotel,property_type_Shared room in condo,property_type_Shared room in home,property_type_Shared room in rental unit,property_type_Shared room in serviced apartment,property_type_Shared room in townhouse,property_type_Shepherd’s hut,property_type_Shipping container,property_type_Tent,property_type_Tiny home,property_type_Treehouse,room_type_Hotel room,room_type_Private room,room_type_Shared room,neighbourhood_cleansed_Ardwick,neighbourhood_cleansed_Baguley,neighbourhood_cleansed_Bolton District,neighbourhood_cleansed_Bradford,neighbourhood_cleansed_Brooklands,neighbourhood_cleansed_Burnage,neighbourhood_cleansed_Bury District,neighbourhood_cleansed_Charlestown,neighbourhood_cleansed_Cheetham,neighbourhood_cleansed_Chorlton,neighbourhood_cleansed_Chorlton Park,neighbourhood_cleansed_City Centre,neighbourhood_cleansed_Crumpsall,neighbourhood_cleansed_Didsbury East,neighbourhood_cleansed_Didsbury West,neighbourhood_cleansed_Fallowfield,neighbourhood_cleansed_Gorton North,neighbourhood_cleansed_Gorton South,neighbourhood_cleansed_Harpurhey,neighbourhood_cleansed_Higher Blackley,neighbourhood_cleansed_Hulme,neighbourhood_cleansed_Levenshulme,neighbourhood_cleansed_Longsight,neighbourhood_cleansed_Miles Platting and Newton Heath,neighbourhood_cleansed_Moss Side,neighbourhood_cleansed_Moston,neighbourhood_cleansed_Northenden,neighbourhood_cleansed_Old Moat,neighbourhood_cleansed_Oldham District,neighbourhood_cleansed_Rochdale District,neighbourhood_cleansed_Rusholme,neighbourhood_cleansed_Salford District,neighbourhood_cleansed_Sharston,neighbourhood_cleansed_Stockport District,neighbourhood_cleansed_Tameside District,neighbourhood_cleansed_Trafford District,neighbourhood_cleansed_Whalley Range,neighbourhood_cleansed_Wigan District,neighbourhood_cleansed_Withington,neighbourhood_cleansed_Woodhouse Park,neighbourhood_group_cleansed_Bury,neighbourhood_group_cleansed_Manchester,neighbourhood_group_cleansed_Oldham,neighbourhood_group_cleansed_Rochdale,neighbourhood_group_cleansed_Salford,neighbourhood_group_cleansed_Stockport,neighbourhood_group_cleansed_Tameside,neighbourhood_group_cleansed_Trafford,neighbourhood_group_cleansed_Wigan,text_appeal_category_High,text_appeal_category_Low,text_appeal_category_Medium,text_appeal_category_Premium
100.0,69.0,1,3.0,1,1,53.50153,-2.26249,3,1.5,2.0,2.0,45.0,163,4.92,4.93,4.94,4.97,4.94,4.68,4.89,0,1,1,0,0,0.97585315,5011.0,13.71937,21.0,15.0,0.6,0.16986302,1.5,47,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,2,4,3,2,34,6,0,0,0,0,0,0,1,0,0,0,0,248,43,3,4.7674417,0.11290322,4.7865505,-0.23255815,0,0,0,0,3,0,1,0,0,0.016129032,0,0,0,0,0,2,0,10.5348835,44.21759,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,0.0,0,1.0,1,0,53.56271,-2.21824,2,1.0,1.0,1.0,75.0,10,5.0,5.0,4.9,5.0,5.0,4.8,5.0,0,1,0,1,0,0.06184292,4851.0,13.281314,2417.0,37.5,0.0,0.569863,2.0,22,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,2,4,4,2,31,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,11.2,53.48902,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
95.0,74.0,1,6.0,1,1,53.48411,-2.22919,1,1.0,1.0,1.0,38.0,65,4.66,4.75,4.27,4.78,4.86,4.81,4.65,1,1,0,1,0,0.4051527,4813.0,13.177276,1051.0,38.0,1.0,1.0,1.0,8,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,1,35,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,7.2,10.019578,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
100.0,90.0,0,12.0,1,1,53.48017,-2.232849,1,1.0,1.0,1.0,42.0,342,4.86,4.88,4.94,4.93,4.94,4.87,4.82,0,4,3,1,0,2.1410685,4792.0,13.119781,19.0,42.0,0.36666667,0.030136986,1.0,29,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,4,2,0,35,4,0,1,0,0,0,0,0,0,0,0,0,191,33,2,4.818182,0.15706806,1.7288636,0.3030303,0,0,2,1,1,0,0,0,1,0.2722513,0,1,1,0,1,2,0,9.006061,26.094252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100.0,71.0,0,3.0,1,1,53.45466,-2.23542,2,2.0,1.0,1.0,35.0,48,4.78,4.56,4.13,4.92,4.87,4.52,4.73,0,2,0,2,0,0.30201343,4768.0,13.054072,95.0,17.5,0.96666664,0.9890411,2.0,28,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,3,3,0,35,6,0,0,0,0,0,0,1,0,0,0,0,244,42,6,4.8333335,0.114754096,11.115,0.47619048,1,0,1,0,2,0,0,0,0,0.024590164,0,0,0,0,1,3,0,8.552381,20.857224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
100.0,100.0,1,1.0,1,1,53.393,-2.34904,2,1.0,1.0,1.0,77.0,441,4.98,4.97,4.94,4.99,4.99,4.96,4.94,0,1,1,0,0,2.7952673,4733.0,12.958248,4.0,38.5,0.1,0.21917808,2.0,53,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,2,4,3,1,49,7,0,0,1,0,0,0,0,0,0,0,0,518,76,8,5.8289475,0.067567565,0.0,0.13157895,1,0,2,1,2,1,0,1,0,0.034749035,0,0,1,0,0,1,2,11.663157,59.879738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
100.0,91.0,1,2.0,1,1,53.47995,-2.22121,2,1.0,1.0,1.0,40.0,310,4.9,4.87,4.97,4.87,4.93,4.88,4.82,0,1,0,1,0,2.00043,4649.0,12.728269,23.0,20.0,0.2,0.063013695,2.0,23,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,4,1,1,49,4,0,1,0,0,0,0,0,0,1,0,0,498,78,7,5.3974357,0.070281126,0.0,0.3846154,2,0,3,1,0,1,0,0,0,0.024096385,0,0,2,0,0,0,2,10.66923,45.9656,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100.0,100.0,1,2.0,1,1,53.44553,-2.27786,2,1.0,1.0,1.0,39.0,463,4.77,4.83,4.78,4.9,4.85,4.84,4.76,0,2,1,1,0,2.9916003,4643.0,12.711842,2.0,19.5,0.36666667,0.48767123,2.0,31,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,2,3,1,1,42,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,7.4,11.480912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.0,100.0,0,2.0,1,1,53.39926,-2.19513,4,1.5,2.0,3.0,120.0,77,4.65,4.56,4.64,4.92,4.95,4.57,4.7,0,2,0,2,0,0.5086985,4541.0,12.43258,870.0,30.0,0.96666664,0.24383561,2.0,65,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,4,5,1,28,1,0,0,0,0,0,0,0,0,0,0,0,754,59,1,5.7118645,0.04111406,0.0,-0.16949153,0,2,4,0,0,0,0,0,0,0.042440318,0,0,1,0,0,0,0,9.861017,35.589428,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100.0,57.0,0,5.0,1,1,53.39365,-2.15513,2,1.5,1.0,1.0,50.0,96,4.92,4.91,4.95,4.94,4.92,4.65,4.84,0,2,0,2,0,0.63646406,4525.0,12.388775,172.0,25.0,0.93333334,0.9890411,2.0,12,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,2,2,3,1,34,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,8.0,15.829954,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
